,dtype,unique,missing,skewness,kurtosis,iqr
D,i,4,0,0.0,-1.3726070861977788,30.0
H,i,4,0,0.0,-1.3726070861977788,30.0
L,i,4,0,0.0,-1.3726070861977788,30.0
x,f,1,0,0.0,0.0,0.0
Dn,i,1,0,0.0,0.0,0.0
Se,i,1,0,0.0,0.0,0.0
Eout,i,1,0,0.0,0.0,0.0
hv,f,1,0,0.0,0.0,0.0
Hs,i,1,0,0.0,0.0,0.0
Sv,i,1,0,0.0,0.0,0.0
collection current,f,64,0,0.0,0.0,2.4271066913329406e-15
emitted current,f,64,0,0.0,0.0,3.4079674134471594e-15
Je,f,64,0,0.21668102060201425,-0.8301570246450458,3407.967413447159
Jc,f,64,0,0.12685580807807778,-1.1965390585841158,2427.1066913329405
